metric,curve,linestyle,r,g,b,npts,We,value
tc,1,--,0.0000,0.0000,0.0000,30,2.01124830,5.17280941
tc,1,--,0.0000,0.0000,0.0000,30,2.72036680,5.12200706
tc,1,--,0.0000,0.0000,0.0000,30,3.53027513,5.08541518
tc,1,--,0.0000,0.0000,0.0000,30,4.44215536,5.02931680
tc,1,--,0.0000,0.0000,0.0000,30,5.45489624,4.99106872
tc,1,--,0.0000,0.0000,0.0000,30,6.57154110,4.94284824
tc,1,--,0.0000,0.0000,0.0000,30,7.78757018,4.91718364
tc,1,--,0.0000,0.0000,0.0000,30,9.10676633,4.90764299
tc,2,-,0.0000,0.4471,0.7412,18,0.27345528,6.00753587
tc,2,-,0.0000,0.4471,0.7412,18,0.46673780,5.53116738
tc,2,-,0.0000,0.4471,0.7412,18,0.71138211,5.31944806
tc,2,-,0.0000,0.4471,0.7412,18,1.00738821,5.21358840
tc,2,-,0.0000,0.4471,0.7412,18,1.35475610,5.16065856
tc,2,-,0.0000,0.4471,0.7412,18,1.75348577,5.00186907
tc,2,-,0.0000,0.4471,0.7412,18,2.20357724,4.84307958
tc,2,-,0.0000,0.4471,0.7412,18,2.70503049,4.71075500
tc,2,-,0.0000,0.4471,0.7412,18,3.25784553,4.60489533
tc,2,-,0.0000,0.4471,0.7412,18,3.86202236,4.52550059
tc,2,-,0.0000,0.4471,0.7412,18,4.51756098,4.47257076
tc,2,-,0.0000,0.4471,0.7412,18,5.22446138,4.41964092
tc,2,-,0.0000,0.4471,0.7412,18,5.98272358,4.36671109
tc,2,-,0.0000,0.4471,0.7412,18,6.79234756,4.34024618
tc,2,-,0.0000,0.4471,0.7412,18,7.65333333,4.28731635
tc,2,-,0.0000,0.4471,0.7412,18,8.56568089,4.26085143
tc,2,-,0.0000,0.4471,0.7412,18,9.52939024,4.23438651
tc,2,-,0.0000,0.4471,0.7412,18,10.54446138,4.23438651
delta,1,--,0.0000,0.0000,0.0000,30,0.05139980,0.34294500
delta,1,--,0.0000,0.0000,0.0000,30,0.09268748,0.38144300
delta,1,--,0.0000,0.0000,0.0000,30,0.13842561,0.41674100
delta,1,--,0.0000,0.0000,0.0000,30,0.18905753,0.45210100
delta,1,--,0.0000,0.0000,0.0000,30,0.24395239,0.48711600
delta,1,--,0.0000,0.0000,0.0000,30,0.30359993,0.51928200
delta,1,--,0.0000,0.0000,0.0000,30,0.36779773,0.55169600
delta,1,--,0.0000,0.0000,0.0000,30,0.43707683,0.58336500
delta,1,--,0.0000,0.0000,0.0000,30,0.51059298,0.61429700
delta,1,--,0.0000,0.0000,0.0000,30,0.58857776,0.64476200
delta,1,--,0.0000,0.0000,0.0000,30,0.67143880,0.67494400
delta,1,--,0.0000,0.0000,0.0000,30,0.75904924,0.70497900
delta,1,--,0.0000,0.0000,0.0000,30,0.85128321,0.73457200
delta,1,--,0.0000,0.0000,0.0000,30,0.94722760,0.76375400
delta,1,--,0.0000,0.0000,0.0000,30,1.04912312,0.79436300
delta,1,--,0.0000,0.0000,0.0000,30,1.15448223,0.82485600
delta,1,--,0.0000,0.0000,0.0000,30,1.26488167,0.85320100
delta,1,--,0.0000,0.0000,0.0000,30,1.38032144,0.88283700
delta,1,--,0.0000,0.0000,0.0000,30,1.49980976,0.91015800
delta,1,--,0.0000,0.0000,0.0000,30,1.62425744,0.94007700
delta,1,--,0.0000,0.0000,0.0000,30,1.75366448,0.97098000
delta,1,--,0.0000,0.0000,0.0000,30,1.88691847,1.00023000
delta,1,--,0.0000,0.0000,0.0000,30,2.01124830,1.02609000
delta,1,--,0.0000,0.0000,0.0000,30,2.72036680,1.16443000
delta,1,--,0.0000,0.0000,0.0000,30,3.53027513,1.30546000
delta,1,--,0.0000,0.0000,0.0000,30,4.44215536,1.44829000
delta,1,--,0.0000,0.0000,0.0000,30,5.45489624,1.59538000
delta,1,--,0.0000,0.0000,0.0000,30,6.57154110,1.74545000
delta,1,--,0.0000,0.0000,0.0000,30,7.78757018,1.89751000
delta,1,--,0.0000,0.0000,0.0000,30,9.10676633,2.05332000
delta,2,-,0.0000,0.4471,0.7412,25,0.04097561,0.24830805
delta,2,-,0.0000,0.4471,0.7412,25,0.13153455,0.34661708
delta,2,-,0.0000,0.4471,0.7412,25,0.27345528,0.43983476
delta,2,-,0.0000,0.4471,0.7412,25,0.46673780,0.52790986
delta,2,-,0.0000,0.4471,0.7412,25,0.71138211,0.61192741
delta,2,-,0.0000,0.4471,0.7412,25,1.00738821,0.69264777
delta,2,-,0.0000,0.4471,0.7412,25,1.35475610,0.77402416
delta,2,-,0.0000,0.4471,0.7412,25,1.75348577,0.87868162
delta,2,-,0.0000,0.4471,0.7412,25,2.20357724,0.98056979
delta,2,-,0.0000,0.4471,0.7412,25,2.70503049,1.07813582
delta,2,-,0.0000,0.4471,0.7412,25,3.25784553,1.17402418
delta,2,-,0.0000,0.4471,0.7412,25,3.86202236,1.26895350
delta,2,-,0.0000,0.4471,0.7412,25,4.51756098,1.36363115
delta,2,-,0.0000,0.4471,0.7412,25,5.22446138,1.45806005
delta,2,-,0.0000,0.4471,0.7412,25,5.98272358,1.55292876
delta,2,-,0.0000,0.4471,0.7412,25,6.79234756,1.64707259
delta,2,-,0.0000,0.4471,0.7412,25,7.65333333,1.74268844
delta,2,-,0.0000,0.4471,0.7412,25,8.56568089,1.83856509
delta,2,-,0.0000,0.4471,0.7412,25,9.52939024,1.93542966
delta,2,-,0.0000,0.4471,0.7412,25,10.54446138,2.03300901
delta,2,-,0.0000,0.4471,0.7412,25,11.61089431,0.20319082
delta,2,-,0.0000,0.4471,0.7412,25,12.72868902,0.21997921
delta,2,-,0.0000,0.4471,0.7412,25,13.89784553,0.23713352
delta,2,-,0.0000,0.4471,0.7412,25,15.11836382,0.25464808
delta,2,-,0.0000,0.4471,0.7412,25,16.39024390,0.27245623
