tt,zc,vv,ff,rcn,b2,b3,b4,a1,a2,a3
0,1,-1,0,0.00797931509060067,0,0,0,0,0,0
0.0487067348997399,0.949016815272219,-0.999880347676593,2.03086699020231e-06,0.300072629862687,-0.000609821034729409,-0.000731236034807147,-0.000855958743210198,-0.00016888668544204,-0.000169047319803937,-0.000169311477447015
0.0974134697994798,0.898438030510178,-0.99194927039094,1.98024048121949e-05,0.437137725783277,-0.00258960883801691,-0.0039789429311085,-0.00523183449604909,-0.000338302044548396,-0.000340350649988741,-0.000343750953951614
0.14612020469922,0.848485519220301,-0.979666818040596,2.97020872534408e-05,0.538159224786611,-0.00647678333175729,-0.0102164581222227,-0.0127077120796037,-0.000508512649883534,-0.000515043620132608,-0.000525886558876864
0.19482693959896,0.799434590196897,-0.961985019720744,4.19859767582261e-05,0.62050474142335,-0.0128490665218079,-0.0196550098048587,-0.0221531684238276,-0.000679849810284057,-0.000694534256716249,-0.000718905242203592
0.243533674498699,0.75152873885069,-0.939527798342648,5.28503980265339e-05,0.689010272935421,-0.02205624198465,-0.0318252083902421,-0.0315585266452281,-0.000852606167029427,-0.000880064626664535,-0.000925610809982692
0.292240409398439,0.704950955782733,-0.913481772012875,6.10151801556266e-05,0.746921357034156,-0.0341618439757918,-0.0456576443894176,-0.0386752543328422,-0.00102700091664041,-0.00107256317456245,-0.00114808970724358
0.340947144298179,0.659793940994932,-0.885617716648069,6.51513232938777e-05,0.795294234135395,-0.048905246471046,-0.0596463139246238,-0.0416421250490035,-0.00120314371836479,-0.0012724916636199,-0.001387365379945
0.389653879197919,0.616201450821425,-0.854934317334313,7.15655278550392e-05,0.835915455721018,-0.0660816284999387,-0.0724937782401176,-0.0396548926986289,-0.001381206101098,-0.00148057440136373,-0.00164505439840966
0.438360614097659,0.574324144656577,-0.821296191507841,7.82877372122497e-05,0.870021101076907,-0.0854325162558854,-0.0830423820564254,-0.0328196383002324,-0.00156136791965627,-0.00169757045750463,-0.00192284915282445
0.487067348997399,0.534239853398654,-0.786131648961148,8.1760441950075e-05,0.89812614119659,-0.106492200734763,-0.0902269175170414,-0.0220267974998031,-0.00174372069615372,-0.00192386297508524,-0.00222158727706317
0.535774083897139,0.4959687986234,-0.750570521613155,8.26627000950316e-05,0.920775744939762,-0.12866350746481,-0.0932566319449051,-0.00879764492100372,-0.00192828608887034,-0.00215953796350237,-0.00254143148314504
0.584480818796879,0.459538633545615,-0.714467060431466,8.38965474768201e-05,0.938776147229883,-0.151373761379904,-0.0917704637250456,0.00505528173429149,-0.00211509474704477,-0.00240471943493247,-0.00288262930162651
