We,tc_over_tsigma,tc_sd,cor,cor_sd,delta_over_R,delta_sd,Bo,Oh
0.725074,4.662827,0.188704,0.335902,0.024898,0.707372,0.083299,0.0170,0.0060
0.983572,4.845526,0.204030,0.309186,0.016532,0.785149,0.091872,0.0170,0.0060
1.227724,5.161817,0.314531,0.297476,0.015664,0.903720,0.103174,0.0170,0.0060
1.573178,5.390522,0.292309,0.287619,0.018712,1.036989,0.103316,0.0170,0.0060
1.938695,5.128519,0.071345,0.288436,0.012456,1.065842,0.029975,0.0170,0.0060
