source,series,t_over_tsigma,rc_over_R,We,Oh,Bo
experiment,experiment_lowWe,0.0,0.08421052631578932,0.023,0.03,0.02
experiment,experiment_lowWe,0.10018371622893185,0.22308019640366644,0.023,0.03,0.02
experiment,experiment_lowWe,0.2003674324578637,0.2862380911405084,0.023,0.03,0.02
experiment,experiment_lowWe,0.30055114868679556,0.3072907227194558,0.023,0.03,0.02
experiment,experiment_lowWe,0.4007348649157274,0.32834335429840317,0.023,0.03,0.02
experiment,experiment_lowWe,0.5009185811446593,0.3493959858773505,0.023,0.03,0.02
experiment,experiment_lowWe,0.6011022973735911,0.37044861745629787,0.023,0.03,0.02
experiment,experiment_lowWe,0.701286013602523,0.3809749332457716,0.023,0.03,0.02
experiment,experiment_lowWe,0.8014697298314548,0.39150124903524536,0.023,0.03,0.02
experiment,experiment_lowWe,0.9016534460603866,0.4020275648247189,0.023,0.03,0.02
experiment,experiment_lowWe,1.0018371622893185,0.4125538806141927,0.023,0.03,0.02
experiment,experiment_lowWe,1.1020208785182501,0.4230801964036663,0.023,0.03,0.02
experiment,experiment_lowWe,1.2022045947471822,0.4230801964036663,0.023,0.03,0.02
experiment,experiment_lowWe,1.3023883109761138,0.4230801964036663,0.023,0.03,0.02
experiment,experiment_lowWe,1.402572027205046,0.43360651219313995,0.023,0.03,0.02
experiment,experiment_lowWe,1.5027557434339776,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,1.6029394596629096,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,1.7031231758918415,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,1.803306892120773,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,1.903490608349705,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,2.003674324578637,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,2.1038580408075687,0.4441328279826137,0.023,0.03,0.02
experiment,experiment_lowWe,2.2040417570365003,0.4230801964036663,0.023,0.03,0.02
experiment,experiment_lowWe,2.3042254732654324,0.4020275648247189,0.023,0.03,0.02
experiment,experiment_lowWe,2.4044091894943644,0.4020275648247189,0.023,0.03,0.02
experiment,experiment_lowWe,2.504592905723296,0.3809749332457716,0.023,0.03,0.02
experiment,experiment_lowWe,2.6047766219522277,0.35992230166682426,0.023,0.03,0.02
experiment,experiment_lowWe,2.7049603381811598,0.3493959858773505,0.023,0.03,0.02
experiment,experiment_lowWe,2.805144054410092,0.31781703850892945,0.023,0.03,0.02
experiment,experiment_lowWe,2.9053277706390235,0.2967644069299821,0.023,0.03,0.02
experiment,experiment_lowWe,3.005511486867955,0.2757117753510347,0.023,0.03,0.02
experiment,experiment_lowWe,3.105695203096887,0.25465914377208737,0.023,0.03,0.02
experiment,experiment_lowWe,3.2058789193258193,0.23360651219314002,0.023,0.03,0.02
experiment,experiment_lowWe,3.306062635554751,0.21255388061419267,0.023,0.03,0.02
experiment,experiment_lowWe,3.406246351783683,0.17044861745629789,0.023,0.03,0.02
experiment,experiment_lowWe,3.506430068012615,0.11781703850892945,0.023,0.03,0.02
experiment,experiment_lowWe,3.606613784241546,0.08623809114050843,0.023,0.03,0.02
experiment,experiment_lowWe,3.706797500470478,0.0,0.023,0.03,0.02
experiment,experiment_lowWe,0.0,0.09779381551434362,0.253,0.03,0.02
experiment,experiment_lowWe,0.10017520368343172,0.33183636870583305,0.253,0.03,0.02
experiment,experiment_lowWe,0.20035040736686344,0.4275810495568968,0.253,0.03,0.02
experiment,experiment_lowWe,0.3005256110502952,0.49141083679093933,0.253,0.03,0.02
experiment,experiment_lowWe,0.4007008147337269,0.5552406240249819,0.253,0.03,0.02
experiment,experiment_lowWe,0.5008760184171586,0.5977938155143435,0.253,0.03,0.02
experiment,experiment_lowWe,0.6010512221005904,0.6190704112590245,0.253,0.03,0.02
experiment,experiment_lowWe,0.7012264257840221,0.6403470070037052,0.253,0.03,0.02
experiment,experiment_lowWe,0.8014016294674537,0.6509853048760458,0.253,0.03,0.02
experiment,experiment_lowWe,0.9015768331508854,0.661623602748386,0.253,0.03,0.02
experiment,experiment_lowWe,1.0017520368343171,0.6722619006207267,0.253,0.03,0.02
experiment,experiment_lowWe,1.101927240517749,0.682900198493067,0.253,0.03,0.02
experiment,experiment_lowWe,1.2021024442011807,0.6722619006207267,0.253,0.03,0.02
experiment,experiment_lowWe,1.3022776478846123,0.661623602748386,0.253,0.03,0.02
experiment,experiment_lowWe,1.4024528515680441,0.661623602748386,0.253,0.03,0.02
experiment,experiment_lowWe,1.5026280552514757,0.6403470070037052,0.253,0.03,0.02
experiment,experiment_lowWe,1.6028032589349075,0.6403470070037052,0.253,0.03,0.02
experiment,experiment_lowWe,1.7029784626183393,0.6297087091313648,0.253,0.03,0.02
experiment,experiment_lowWe,1.8031536663017709,0.6190704112590245,0.253,0.03,0.02
experiment,experiment_lowWe,1.9033288699852027,0.5871555176420032,0.253,0.03,0.02
experiment,experiment_lowWe,2.0035040736686343,0.5339640282803011,0.253,0.03,0.02
experiment,experiment_lowWe,2.1036792773520663,0.480772538918599,0.253,0.03,0.02
experiment,experiment_lowWe,2.203854481035498,0.40630445381221597,0.253,0.03,0.02
experiment,experiment_lowWe,2.3040296847189294,0.3531129644505139,0.253,0.03,0.02
experiment,experiment_lowWe,2.4042048884023615,0.27864487934413085,0.253,0.03,0.02
experiment,experiment_lowWe,2.504380092085793,0.19353849636540743,0.253,0.03,0.02
experiment,experiment_lowWe,2.6045552957692246,0.0,0.253,0.03,0.02
experiment,experiment_lowWe,0.0,0.30883780849849807,2.7,0.03,0.02
experiment,experiment_lowWe,0.09512479072548494,0.6652734520628544,2.7,0.03,0.02
experiment,experiment_lowWe,0.19024958145096987,0.8335902837460227,2.7,0.03,0.02
experiment,experiment_lowWe,0.2853743721764548,0.9326001847361218,2.7,0.03,0.02
experiment,experiment_lowWe,0.38049916290193975,1.021709095627211,2.7,0.03,0.02
experiment,experiment_lowWe,0.47562395362742466,1.0613130560232504,2.7,0.03,0.02
experiment,experiment_lowWe,0.5707487443529096,1.0910160263202802,2.7,0.03,0.02
experiment,experiment_lowWe,0.6658735350783945,1.10091701641929,2.7,0.03,0.02
experiment,experiment_lowWe,0.7609983258038795,1.0910160263202802,2.7,0.03,0.02
experiment,experiment_lowWe,0.8561231165293642,1.0811150362212703,2.7,0.03,0.02
experiment,experiment_lowWe,0.9512479072548493,1.0415110758252306,2.7,0.03,0.02
experiment,experiment_lowWe,1.046372697980334,0.9821051352311714,2.7,0.03,0.02
experiment,experiment_lowWe,1.1414974887058191,0.9326001847361218,2.7,0.03,0.02
experiment,experiment_lowWe,1.236622279431304,0.8830952342410724,2.7,0.03,0.02
experiment,experiment_lowWe,1.331747070156789,0.8335902837460227,2.7,0.03,0.02
experiment,experiment_lowWe,1.426871860882274,0.7840853332509733,2.7,0.03,0.02
experiment,experiment_lowWe,1.521996651607759,0.7246793926569138,2.7,0.03,0.02
experiment,experiment_lowWe,1.6171214423332438,0.6751744421618644,2.7,0.03,0.02
